import_type,topic_number,topic_name,question_number,position,statement,option_a,option_b,option_c,option_d,correct_option,source_name
TOPIC,1,Tema 1,13,13,"La Nación española, deseando establecer la justicia, la libertad y la seguridad y promover el bien de cuantos la integran, en uso de su soberanía, proclama su voluntad de:","Garantizar la convivencia democrática dentro de la Constitución y de las leyes conforme a un orden económico y social justo.Consolidar un Estado de Derecho que asegure el imperio de la ley como expresión de la voluntad Nacional. Proteger a todos los españoles y pueblos de España en el ejercicio de los derechos constitucionales. sus culturas y tradiciones, lenguas e instituciones Promover el progreso de la cultura y de la economía para asegurar a todos una digna calidad de vida. Establecer una sociedad democrática avanzada, y colaborar en el fortalecimiento de unas relaciones pacíficas y de eficaz cooperación entre todos los pueblos de la Tierra. En consecuencia, las Cortes aprueban y el pueblo español ratifica la siguiente Constitución.","Garantizar la convivencia democrática dentro de la Constitución y de las leyes conforme a un orden económico y social justo Consolidar un Estado de Derecho que asegure el imperio de la ley como expresión de la voluntad popular. Proteger a todos los españoles y pueblos de España en el ejercicio de los derechos humanos, sus culturas y tradiciones, lenguas e instituciones Promover el progreso de la cultura y de la economía para asegurar a todos una digna calidad de vida. Establecer una sociedad democrática avanzada, y colaborar en el fortalecimiento de unas relaciones pacíficas y de eficaz cooperación entre todos los pueblos de la Tierra. En consecuencia, las Cortes aprueban y el pueblo español ratifica la siguiente Constitución.","Garantizar la convivencia democrática dentro de la Constitución y de las leyes conforme a un orden económico y social de derecho Consolidar un Estado de Derecho que asegure el imperio de la ley como expresión de la voluntad Nacional. Proteger a todos los españoles y pueblos de España en el ejercicio de los derechos humanos, sus culturas y tradiciones, lenguas e instituciones Promover el progreso de la cultura, la educación, y de la economía para asegurar a todos una digna calidad de vida. Establecer una sociedad democrática avanzada, y colaborar en el fortalecimiento de unas relaciones pacíficas y de eficaz cooperación entre todos los pueblos de la Tierra En consecuencia, las Cortes aprueban y el pueblo español ratifica la siguiente Constitución.","Garantizar la convivencia democrática dentro de la Constitución conforme a un orden económico y social de derecho.Consolidar un Estado de Derecho que asegure el imperio de la ley como expresión de la voluntad Nacional. Proteger a todos los pueblos de España en el ejercicio de los derechos humanos, sus culturas y tradiciones, lenguas e instituciones.Promover el progreso de la cultura y de la economía para asegurar a todos una digna calidad de vida. Establecer una sociedad democrática avanzada, y colaborar en el fortalecimiento de unas relaciones pacíficas y de eficaz cooperación entre todos los pueblos de la Tierra. En consecuencia, las Cortes aprueban y el pueblo español ratifica la siguiente Constitución.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,14,14,La reforma del Título II de la Constitución o de parte del mismo:,Deberá ser propuesta por el Rey como titular de la Corona.,Deberá tramitarse por el procedimiento previsto en el artículo 168 de la Constitución.,Deberá ser propuesta y aprobada por el Congreso de los Diputados y el Senado en sesión conjunta de ambas Cámaras.,Ninguna de las anteriores respuestas es correcta.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,15,15,"Cuántos Títulos tiene la Constitución Española, sin contar el Título Preliminar:",10.,11.,12.,Ninguna respuesta es cierta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,16,16,Cuál de las siguientes afirmaciones no se contiene en el artículo 9 de la CE:,Todas las personas tienen derecho a obtener la tutela efectiva de los jueces y Tribunales en el ejercicio de sus derechos e intereses legítimos.,La constitución garantiza el principio de legalidad y la jerarquía normativa.,La constitución garantiza la publicidad de las normas y la irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos.,Los ciudadanos y los poderes públicos están sujetos a la constitución y al resto del ordenamiento jurídico.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,17,17,"Señala la respuesta correcta. La constitución española de 1978 fue elaborada por el poder constituyente que ante la situación política de la época diseñó una constitución rígida en cuanto a su posible reforma. No obstante su carácter rígido, la Carta Magna ha sido objeto de distintas reformas:",Desde la entrada en vigor de la Constitución Española de 1978 ésta se ha reformado en tres ocasiones: la primera de ellas consiste en la reforma del artículo 104.1 en mayo de 1986 para permitir la entrada de España en la Organización del Tratado del Atlántico Norte; la segunda de ellas consiste en la reforma del artículo 13.2 en 1992 para permitir la entrada de España en la Unión Europea y; la tercera de ellas consiste en la reforma del artículo 135 en 2011 para reforzar el compromiso de España con la Unión Europea y garantizar la sostenibilidad económica y social.,"Desde la entrada en vigor de la Constitución Española de 1978 ésta se ha reformado en cuatro ocasiones: la primera de ellas consiste en la reforma del artículo 104.1 en mayo de 1986 para permitir la entrada de España en la Organización del Tratado del Atlántico Norte; la segunda de ellas consistente en la reforma del artículo 57.1 en 2009 para permitir la línea sucesoria sin discriminación entre varón y mujer; la tercera de ellas consiste en la reforma del artículo 135 en 2011 para reforzar el compromiso de España con la Unión Europea y garantizar la sostenibilidad económica y social; y la cuarta de ellas consiste en la reforma del artículo 69.3 en 2024 consistente en una alteración técnica del listado de circunscripciones insulares, reconociendo oficialmente a Formentera como una circunscripción con senador propio.",Desde la entrada en vigor de la Constitución Española de 1978 ésta se ha reformado en dos ocasiones: la primera de ellas consiste en la reforma del artículo 104.1 en mayo de 1986 para permitir la entrada de España en la Organización del Tratado del Atlántico Norte y; la segunda de ellas consiste en la reforma del artículo 135 en 2011 para reforzar el compromiso de España con la Unión Europea y garantizar la sostenibilidad económica y social.,"Desde la entrada en vigor de la Constitución Española de 1978 ésta se ha reformado en cuatro ocasiones: la primera de ellas consiste en la reforma del artículo 13.2 en mayo de 1992 para adaptar la legislación española al Tratado de Maastricht, ampliando el derecho de sufragio pasivo a los ciudadanos de la Unión Europea residentes en España para que pudieran ser elegidos en las elecciones municipales; la segunda de ellas fue la reforma del artículo 135 en 2011 que introdujo el principio de estabilidad presupuestaria, consagrando el límite de déficit estructural y dando prioridad al pago de la deuda pública del Estado y de las comunidades autónomas; la tercera de ellas fue la reforma del artículo 49 en 2024 introduciendo el concepto de ""personas con discapacidad"" y garantizando la protección de su dignidad, autonomía e inclusión y la cuarta de ellas consiste en la reforma del artículo 69.3 en 2026 consistente en una alteración técnica del listado de circunscripciones insulares, reconociendo oficialmente a Formentera como una circunscripción con senador propio.",D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,18,18,"Según la Constitución, el Estado es:",Apolítico.,Aconfesional.,De bienestar social.,Federal.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,19,19,Cuándo podrá llevarse a cabo una reforma de la Constitución:,Cuando dicha reforma sea ratificada en referéndum.,"Cuando no esté declarado el estado de alarma, excepción o sitio.",Siempre que lo solicite el Gobierno.,Siempre que lo solicite el Gobierno y dicha reforma sea ratificada en referéndum por el pueblo.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,20,20,"En una monarquía parlamentaria, el peso de las decisiones políticas corresponde:",Al Rey.,Al Parlamento.,Al Gobierno.,Al Poder Judicial.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,21,21,Cuáles son los procedimientos de reforma constitucional que se establecen en la Constitución:,"Un procedimiento ordinario, otro extraordinario y una cláusula de intangibilidad.","Un procedimiento ordinario, otro extraordinario y otro urgente.",Un procedimiento ordinario y otro extraordinario.,"Un procedimiento ordinario, otro extraordinario y otro para tiempos de guerra.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,22,22,La soberanía nacional reside en:,La Monarquía.,"El pueblo español, del que emanan los poderes del Estado.",Los poderes del Estado.,El Estado de Derecho.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,23,23,Cuál de los siguientes principios no se garantiza por el art. 9.3 de la Constitución Española:,El de legalidad.,La jerarquía normativa.,La irretroactividad de las disposiciones sancionadoras favorables y de las no favorables o restrictivas de derechos individuales.,La interdicción de la arbitrariedad de los poderes públicos.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,24,24,"De acuerdo con el artículo 6º de la Constitución Española, tienen como fin la manifestación y formación de la voluntad popular:",Las Cortes Generales.,Los partidos políticos.,Los sindicatos y partidos políticos.,Los poderes públicos.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,25,25,"Señala la respuesta correcta. De conformidad con el artículo 167 de la Constitución Española, los proyectos de reforma constitucional deberán ser aprobados:",Por mayoría de dos tercios de cada una de las Cámaras.,Por mayoría absoluta del Senado y mayoría de dos tercios del Congreso.,Por mayoría de tres quintos de cada una de las Cámaras.,Todas las respuestas son incorrectas.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,26,26,"Señala cuál de las siguientes afirmaciones es correcta, según la Constitución Española:",El Título Preliminar contiene los preceptos que regulan los principios y valores básicos del ordenamiento constitucional.,El título X se titula: Del Tribunal Constitucional.,El título III trata de la Corona.,El título I trata de los derechos y deberes fundamentales.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,27,27,La publicación en el B.O.E. de la Constitución Española de 1978 tuvo lugar:,"El 27 de diciembre de 1978, entrando en vigor ese mismo día.",El 6 de diciembre de 1978.,El 31 de octubre de 1978.,El 29 de diciembre de 1978.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,28,28,"En la Constitución, a qué se le denomina fórmula promulgatoria:",A las palabras con las que el Rey hace pública la Constitución.,A la fórmula en la que se indican los principios que se quiere conseguir.,A las palabras con las que el Rey sanciona la Constitución.,A la pregunta que se formuló para su aprobación en referéndum.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,29,29,En los Títulos II a VI de la CE se contiene:,La parte dogmática de la misma.,Los derechos y libertades de los españoles.,La articulación y competencias de los distintos poderes del Estado.,La organización territorial del Estado.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,30,30,No necesitan someterse a referéndum:,La reforma del sistema de derechos y libertades recogidos en la Consti­tución.,La reforma del Título que hace referencia a la Corona.,"La reforma del Capítulo Segundo, Sección 2ª, del Título I de la Constitu­ción.","La reforma del Capítulo Segundo, Sección 1ª, del Título I de la Constitu­ción.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,31,31,"De acuerdo con el contenido de la Constitución Española de 1978, indique cuál de las siguientes frases es incorrecta:",Todo el contenido del Título Preliminar son principios fundamentales.,Los principios fundamentales están formados por valores que informan la totalidad del texto constitucional.,Los principios fundamentales informan la totalidad de la actividad del Estado.,No todos los principios fundamentales se contienen en el Título Preliminar.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,32,32,Los ciudadanos y los poderes públicos están sujetos:,A las leyes.,A la Constitución.,A la Constitución y resto del ordenamiento jurídico.,A la Constitución y a las leyes.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,33,33,"En el procedimiento ordinario de reforma constitucional, el referéndum es:",Obligatorio en todo caso.,"Preceptivo cuando se solicite por una décima parte de los Diputados o Senadores, dentro de los quince días siguientes a la aprobación de la reforma.","Voluntario, en cualquier caso.",Improcedente.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,34,34,"Que los ciudadanos puedan predecir las consecuencias jurídicas que se derivan de un determinado acto, se establece en el principio de:",Seguridad jurídica.,Irretroactividad de las disposiciones sancionadoras no favorables.,Legalidad.,Publicidad de las normas.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,35,35,"Aprobada la reforma de la Constitución por las Cortes Generales, se someterá a referéndum para su ratificación (art. 167 de la Constitución española):","Cuando lo solicite, dentro de los quince días siguientes a su aprobación, una décima parte de los miembros de cualquiera de las Cámaras.","Cuando lo solicite, dentro de los diez días siguientes a su aprobación, un tercio de los miembros de cualquiera de las Cámaras.","Cuando lo solicite, en cualquier momento, una décima parte de los miembros de ambas Cámaras.","Cuando lo solicite, dentro de los diez días siguientes a su aprobación, el Congreso por mayoría de dos tercios, siempre que haya obtenido el voto favorable de la mayoría absoluta del Senado.",A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,36,36,El art. 2 de nuestra Constitución no establece que:,Se garantiza la solidaridad entre las nacionalidades y regiones que integran la Nación española.,La Nación española es patria común e indivisible de todos los españoles.,Se reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que integran la Nación.,La riqueza de las distintas modalidades lingüísticas de España es un  patrimonio cultural que será objeto de especial respeto y protección.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,37,37,Indique cuál de las siguientes disposiciones no fue derogada por la Constitución de 1978:,"Ley 1/1977, de 4 de enero, para la Reforma Política.","Ley 19/1977, de 1 de abril, sobre regulación del derecho de asociación sindical.","Ley de Sucesión en la Jefatura del Estado, de 26 de julio de 1947.","Ley de Referéndum Nacional, de 22 de octubre de 1945.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,38,38,"Como norma general, los proyectos de reforma constitucional deberán ser aprobados por cada una de las Cámaras por una mayoría de:",2.3.,3.5.,3.4.,Absoluta.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,39,39,"En nuestro país, el Defensor del Pueblo es una institución que se recoge por vez primera en:",La Constitución de 1978.,La Constitución de Cádiz de 1812.,La Constitución de 1931.,Ninguna de las anteriores es correcta.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,40,40,Cuántas veces se ha modificado la Constitución Española de 1978:,Una siguiendo lo dispuesto en las Disposiciones Transitorias para evitar la Reforma constitucional.,Ninguna.,"Cuatro, modificando el art. 13.2 en el año 1992, otra en el año 2011 modificando el art. 135, otra en el año 2024 para reformar el art. 49 y la última en el año 2026 para reformar el artículo 69.3.","Dos, modificando el art. 13.2 en el año 1992 y otra en el año 2011 modificando el art. 135.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,41,41,Una de las siguientes afirmaciones relativa a los sindicatos y asociaciones empresariales no es correcta:,El ejercicio de su actividad será libre dentro del respeto a la Constitución y a la Ley.,Su estructura Interna deberá ser jerárquica.,Su funcionamiento Interno deberá ser democrático.,Su creación será libre dentro del respeto a la Constitución y a la Ley.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,42,42,La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales:,Es un principio constitucional garantizado en el artículo 8 de la Constitución Española de 1978.,"Prohíbe la aplicación de los efectos de las normas a situaciones o hechos surgidos o acontecidos antes de su entrada en vigor, si son restrictivas de derechos individuales, no favorables o de carácter sancionador.","Se trata de un principio general del derecho que no está reconocido en la Constitución Española, sino en otras normas jurídicas.",Todas son incorrectas.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,43,43,Cual son los órganos de las Comunidades Autónomas a los que corresponde la iniciativa de reforma constitucional:,Los Diputados individualmente.,Las Asambleas legislativas.,Los Consejos de Gobierno.,Los Presidentes de Gobierno.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,44,44,La defensa de la integridad territorial de España se atribuye por la Constitución a/al/las:,Fuerzas y Cuerpos de seguridad.,Fuerzas Armadas.,Gobierno de la nación.,Todas las anteriores.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,45,45,La capital del Estado es:,La ciudad de Madrid.,El Madrid metropolitano.,La villa de Madrid.,La localidad de Madrid.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,46,46,Señala la respuesta incorrecta:,La Constitución del 78 consta de 169 artículos.,"Nuestra Constitución es precisa, fruto del consenso al que tuvieron que llegar los distintos grupos políticos para acercar posturas divergentes.",Es rígida.,Es una Constitución influida por el constitucionalismo europeo.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,47,47,La aprobación de la Constitución tuvo lugar mediante:,Sesión conjunta del Congreso y Senado el mismo día.,Sesión conjunta del Congreso y llenado en distinto día.,Sesiones separadas del Congreso y Senado al mismo día.,Sesiones separadas del Congreso y Senado en distinto día.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,48,48,La Constitución Española fue publicada en el BOE en fecha:,1978-10-31 .,1978-12-06 .,1978-12-27 .,1978-12-29 .,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,49,49,Los Títulos de la Constitución Española que no se encuentran divididos en Capítulos ni Secciones y que solo contienen artículos son:,"Títulos I, III y V.","Títulos Preliminar, II, IV, V, VI, VII, IX y X.","Títulos Preliminar, II, IV, VI, VII, IX y X.","Títulos Preliminar, II, IV, V, VI, VII, y X.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,50,50,"Con fecha de 27 de septiembre de 2011 se publicó la segunda reforma de la Constitución Española, que modificó el artículo:",135.,154,145.,125.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,51,51,La estructura de la Constitución Española de 1978 es la siguiente:,"Un Título Preliminar, diez Títulos, cuatro disposiciones adicionales, nueve disposiciones transitorias, una disposición derogatoria y, una disposición final.","Diez Títulos, siete disposiciones adicionales, nueve disposiciones transitorias, una disposición derogatoria y una disposición final.","Diez Títulos, siete capítulos, nueve secciones, una disposición adicional, y una disposición final.","Un Título Preliminar, diez Títulos, nueve disposiciones adicionales, cuatro disposiciones transitorias, una disposición derogatoria y una disposición final.",A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,52,52,Qué Título de la Constitución Española regula los Derechos y Deberes fundamentales:,Título preliminar.,Título I.,Título II.,Título IX.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,53,53,Fechas relevantes de la Constitución Española de 1978:,"Fue aprobada por las Cortes Generales el 30/11/1978, ratificada en referéndum el 08/12/1978, sancionada y promulgada por el Rey el 27/12/1978 y publicada en el BOE el 30/12/1978.","Fue aprobada por las Cortes Generales el 31/10/1977, ratificada en referéndum el 08/12/1977, sancionada y promulgada por el Rey el 27/12/1978 y publicada en el BOE el 29/12/1978.","Fue aprobada por las Cortes Generales el 31/10/1978, ratificada en referéndum el 06/12/1978, sancionada y promulgada por el Rey el 27/12/1978 y publicada en el BOE el 29/12/1978.","Fue aprobada por las Cortes Generales el 31/10/1978, ratificada en referéndum el 08/12/1978, sancionada y promulgada por el Rey el 27/12/1978 i publicada en el BOE el 30/12/1978.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,54,54,Atendiendo al artículo 9.1 de la CE:,La capital del Estado es la villa de Madrid.,"Una ley orgánica regulará las bases de la organización militar conforme a los principios de la presente Constitución y directrices europeas,.",Los ciudadanos y los poderes públicos están sujetos a la Constitución y al resto del ordenamiento jurídico.,"La Constitución garantiza el principio de legalidad, la jerarquía normativa, la publicidad de las normas, la irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,55,55,El deber jurídico de guardar y hacer guardar la Constitución rige:,Desde el día de su publicación en el boletín oficial del Estado.,Desde el momento en que fue sancionada por el Rey.,Desde que fue aprobada por las Cortes.,Desde que su proyecto fue aprobado en referéndum.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,56,56,La designación de Don Juan Carlos de Borbón como sucesor a título de Rey en la Jefatura del Estado se produce:,En el año 1947 tras la promulgación de la Ley de Sucesión a la Jefatura del Estado donde se define por primera vez a España como un Reino.,"En el año 1969 cuando de acuerdo con la Ley de Sucesión, Franco propone a las Cortes y éstas aceptan la designación de Don Juan Carlos como su sucesor a título de Rey en la Jefatura del Estado.",Tras el fallecimiento del general Franco y su proclamación como Rey de España el 22 de noviembre de 1975.,Tras el referéndum de la Ley para la Reforma Política en el año 1976 donde se legitima democráticamente la institución de la Corona.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,57,57,"Según el artículo 9 de la Constitución, a que están sujetos los poderes públicos y los ciudadanos:",A la Constitución y a la ley.,A la ley y al ordenamiento jurídico.,A la Constitución y al resto del ordenamiento jurídico.,"A la Constitución, a la ley y al resto del ordenamiento jurídico.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,58,58,Los proyectos de reforma constitucional según el artículo 167 de la Constitución Española:,Deberán ser aprobados por mayoría absoluta del número legal de miembros de cada una de las cámaras.,Deberán ser aprobados por una mayoría de dos tercios de cada una de las cámaras.,Deberán ser aprobados por una mayoría de tres quintos de cada una de las cámaras.,Deberán ser aprobados por una mayoría simple de cada una de las cámaras.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,59,59,El Tribunal Constitucional se recoge en nuestra CE:,En el Título IX.,En el Título X.,En el Título XI.,En el Título VIII.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,60,60,El Título Preliminar de la CE se dedica a:,Las Cortes Generales.,La Corona.,El Poder Judicial.,Ninguna es correcta.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,61,61,De acuerdo con el artículo 7 de la Constitución es función de los sindicatos:,Participar en la elaboración de la política social y económica.,Representar a sus afiliados ante los poderes públicos.,Contribuir a la defensa y promoción de los intereses económicos y sociales que les son propios.,Todas son correctas.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,62,62,Los partidos políticos:,No son órganos del estado.,Son órganos de Gobierno.,Son órganos del Estado.,Representan al Estado.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,63,63,La Constitución garantiza:,La equidad de las normas.,La publicidad de las normas.,La vigencia de las normas.,La retroactividad de las normas.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,64,64,Se podrá iniciar reforma constitucional:,En tiempo de guerra.,En estado de alarma.,En estado de excepción o de sitio.,Ninguna respuesta es correcta.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,65,65,Las bases de la organización militar conforme a los principios constitucionales:,"Se regulan por Ley Ordinaria, conforme al mandato constitucional.","Se regulan por Ley Orgánica, conforme al mandato constitucional.","Se regulan en la propia Constitución, en el Título Octavo.","Se regulan en la propia Constitución, en el Título Preliminar.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,66,66,De cuántos capítulos consta el Título I de la Constitución Española de 1978:,De tres.,De cinco.,De dos.,De cuatro.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,67,67,La Constitución Española de 1978 puede dividir en dos grandes bloques:,Una parte teórica y otra parte práctica.,Una parte ejecutiva y otra parte judicial.,Una parte orgánica y otra parte dogmática.,Todas las respuestas son falsas.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,68,68,"Las materias que gozan de especial protección a efectos de reforma constitucional, son las contenidas en:","Los Títulos preliminar, I, II y III.","Los Títulos preliminar, I, en su capítulo II sección 1a y II.","Los Títulos preliminar, III, en su capítulo III sección 2a y III.","Los Títulos preliminar, I y II.",B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,69,69,Quién garantiza el orden constitucional:,Las Fuerzas Armadas garantizan el orden constitucional.,Las Fuerzas y Cuerpos de Seguridad del Estado garantizan el orden constitucional.,Los representantes políticos.,Las Fuerzas y Cuerpos de Seguridad.,A,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,70,70,Según el artículo 9.2 de la constitución Española:,Corresponde a los poderes públicos promover las condiciones para que la libertad y la igualdad del individuo y de los grupos en que se integra sean reales y efectivas.,"La Constitución garantiza el principio de legalidad, la jerarquía normativa, la publicidad de las normas, la irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, la seguridad jurídica, la responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.",Los ciudadanos y los poderes públicos están sujetos al Constitución y al resto del ordenamiento jurídico.,Los ciudadanos y los poderes públicos están sujetos al ordenamiento jurídico Constitucional y los tratados internacionales ratificados por las Cortes Generales.,A,Preguntas de Examenes Agente - Tema 1
